3.92488,7.36341,7.07392,A
5.76474,7.42152,6.28276,A
4.81159,6.73099,6.46968,A
5.18907,6.58215,8.35666,A
3.89498,8.66101,7.83511,A
5.22771,6.35283,7.02371,A
3.69425,6.91193,6.47661,A
5.81189,5.63948,7.13415,A
4.52351,8.13013,8.52601,A
5.08809,6.20105,9.89756,A
4.71715,5.30051,8.14537,A
5.59775,7.91605,5.24086,A
3.71929,6.55126,6.02071,A
4.07283,5.46664,5.32396,A
5.2316,7.0498,6.73171,A
3.91455,6.62566,8.45474,A
3.22152,5.58981,7.11874,A
5.18016,6.5294,5.69851,A
5.58026,7.33859,6.91188,A
3.74336,7.02426,5.53048,A
5.66736,7.09066,6.93999,A
4.36749,6.68381,7.15383,A
5.85443,5.19512,8.53487,A
5.10155,7.43551,7.48728,A
5.63541,6.68535,5.35544,A
3.19743,6.60729,8.78559,A
4.67596,6.49442,6.97541,A
3.77329,5.07035,5.64421,A
4.81228,7.0921,7.9042,A
4.30503,6.56537,7.56828,A
5.22067,7.09397,8.60304,A
4.57878,7.02549,8.15528,A
4.75656,6.29383,5.73309,A
5.09724,6.35519,7.92459,A
5.32462,5.41289,5.90327,A
5.67997,7.17026,6.97932,A
4.23159,7.41218,7.59354,A
5.04294,6.83916,8.18007,A
4.26165,6.56225,7.49404,A
5.12356,7.40222,7.4763,A
5.4751,5.13543,9.78739,A
3.2912,6.29561,6.93062,A
5.86702,6.78122,6.79618,A
5.40641,6.84598,7.84298,A
5.44228,6.58618,6.85869,A
3.2944,6.45867,6.90135,A
2.37029,4.8273,7.31362,A
4.25066,5.64928,6.53221,A
3.10677,7.50927,10.1266,A
5.12718,7.511,7.01943,A
4.08031,7.4834,9.29813,A
2.07258,5.8974,6.97832,A
5.03765,6.66273,6.70418,A
4.9215,7.7709,7.03563,A
3.43036,6.78989,6.5547,A
4.205,8.32073,8.893,A
4.76715,6.68613,8.63334,A
6.02537,6.00237,7.15462,A
5.82095,6.74942,7.26813,A
4.05988,4.52001,8.43011,A
4.79317,6.40448,6.45292,A
2.7515,7.77481,8.39393,A
6.09596,5.9853,7.69458,A
5.65771,5.83088,6.76192,A
4.22909,7.96737,6.54569,A
3.45691,7.8914,7.70411,A
2.73,6.12563,7.45735,A
4.9608,6.11935,6.43605,A
3.67658,5.94897,7.83997,A
4.0379,5.39367,5.75935,A
5.23988,6.94641,6.66982,A
4.15362,6.28454,9.29245,A
3.51656,6.35637,7.04607,A
4.91037,6.73777,7.01451,A
3.53668,6.93272,9.15062,A
4.08962,6.67249,7.54619,A
4.83795,6.10027,9.27551,A
5.974,6.17223,7.6277,A
3.78924,8.64234,9.35386,A
3.68658,7.0478,5.46545,A
3.97867,5.51717,8.41818,A
4.44629,7.52315,7.53915,A
